question,answer,context,difficulty
What is the legal blood alcohol concentration (BAC) limit for drivers 21 and older in California?,0.08%,Alcohol and Drugs (Section 9),Easy
At what age can a driver in California apply for an instruction permit?,15½ years old,Getting an Instruction Permit (Section 2),Easy
How many hours of supervised driving practice are required for a minor before taking the behind-the-wheel test?,50 hours (including 10 hours at night),Getting an Instruction Permit (Section 2),Medium
When must you use headlights according to California law?,"From 30 minutes after sunset to 30 minutes before sunrise, or when visibility is insufficient to see objects 1,000 feet ahead, or when using windshield wipers in rain, fog, or snow.","Signals, Horns, and Headlights (Section 5)",Medium
What does a solid red traffic light mean?,Stop. You may turn right after coming to a full stop unless there is a no-turn-on-red sign.,Traffic Signals (Section 7),Easy
When can you legally pass another vehicle on the right?,"Only if the road has two or more lanes going in your direction, or if the vehicle ahead is turning left and you can pass safely on the right.",Passing (Section 6),Medium
"What does a yellow, diamond-shaped sign indicate?",A warning sign indicating road conditions or hazards ahead.,Warning Signs (Section 7),Easy
What is the hand signal for a right turn?,"Left arm bent upward at the elbow, with hand pointing up.","Signals, Horns, and Headlights (Section 5)",Easy
How far before a turn should you signal on a highway?,At least 5 seconds (about 400 feet) before the turn.,Turns (Section 6),Medium
"When approaching a school bus with flashing red lights, you must:",Stop in either direction until the lights stop flashing and the stop arm is retracted.,Traffic Control (Section 7),Medium
What does a solid double yellow line on the road mean?,No passing in either direction.,Lane Markings (Section 6),Easy
When are you allowed to make a U-turn against a red light?,"When turning from a one-way street onto a one-way street, unless a No U-turn sign is posted.",Turns (Section 6),Medium
What is the minimum tread depth required on tires for a valid drive test vehicle?,At least 1/32-inch of uniform tread depth.,Testing Process (Section 3),Medium
What is the correct procedure if your vehicle’s turn signals are not functioning when approaching an intersection?,Use hand-and-arm signals to indicate turns.,"Signals, Horns, and Headlights (Section 5)",Medium
When must you yield the right-of-way to pedestrians?,At marked or unmarked crosswalks and intersections; pedestrians always have the right-of-way.,Pedestrians and Right-of-Way (Section 7),Easy
How far from a fire hydrant may you legally park?,At least 15 feet away.,Parking (Section 6),Easy
